Locality,AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age
ALEXANDRA HEADLAND,D         ,Meekhoh,CATTLEDOGX,CATTLE,BlueMerle ,Y,F,4
ALEXANDRA HEADLAND,Cat       ,Maisy,TABBY     ,TABBY ,Tabby     ,Y,F,3
ALEXANDRA HEADLAND,D         ,Widget,MALTESEX  ,MALTES,Apricot   ,Y,F,8
ALEXANDRA HEADLAND,D         ,Jake,CAVOODLE  ,CAVOOD,Brown     ,Y,M,3
ALEXANDRA HEADLAND,D         ,Milly,CATTLEDOGX,CATTLE,Tan       ,Y,F,10
ALEXANDRA HEADLAND,D         ,Cleo,RETRIEVGDX,RETRIE,Black     ,Y,F,3
ALEXANDRA HEADLAND,D         ,Snowie,CATTLEDOGX,CATTLE,White     ,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Marvin,BURMESE   ,BURMES,Cream     ,Y,M,3
ALEXANDRA HEADLAND,D         ,Pepper,SCHNAUZMN ,SCHNAU,Black     ,Y,F,4
ALEXANDRA HEADLAND,Cat       ,Lexi,DOMSH     ,DOMSH ,Tortoise  ,Y,F,3
ALEXANDRA HEADLAND,D         ,Doogie Dog,HEELER    ,HEELER,BlackTanWh,Y,M,3
ALEXANDRA HEADLAND,D         ,Fritz,DACHSHUNDM,DACHSH,Black     ,Y,M,3
ALEXANDRA HEADLAND,D         ,Milly,MALTESE   ,MALTES,BlackWhite,Y,F,4
ALEXANDRA HEADLAND,D         ,Ernie,DACHSHUNDM,DACHSH,BlackTan  ,Y,M,4
ALEXANDRA HEADLAND,Cat       ,Nikita,SEMI LONG ,SEMI L,White     ,Y,F,5
ALEXANDRA HEADLAND,Cat       ,Heidi,DOMSH     ,DOMSH ,Ginger    ,Y,F,3
ALEXANDRA HEADLAND,D         ,Nikki,FOXTERRMN ,FOXTER,BlackWhite,Y,F,15
ALEXANDRA HEADLAND,D         ,Meisha,MALTESE   ,MALTES,WhiteTan  ,Y,F,11
ALEXANDRA HEADLAND,Cat       ,Murphy,TABBY     ,TABBY ,Ginger    ,Y,M,7
ALEXANDRA HEADLAND,Cat       ,Tommy,DOMSH     ,DOMSH ,Black     ,Y,M,8
ALEXANDRA HEADLAND,Cat       ,Blue Bell,DOMSH     ,DOMSH ,Tortoise  ,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Angel,DOMMH     ,DOMMH ,Tortoise  ,Y,F,13
ALEXANDRA HEADLAND,D         ,Buddy,STAFFRDBT ,STAFFR,White     ,N,M,3
ALEXANDRA HEADLAND,D         ,Jordi,MALTESEX  ,MALTES,White     ,Y,F,14
ALEXANDRA HEADLAND,D         ,Tonka,BULLARABX ,BULLAR,Brindle   ,Y,M,3
ALEXANDRA HEADLAND,D         ,Guiness,COLLBORDR ,COLLBO,Black     ,Y,M,11
ALEXANDRA HEADLAND,Cat       ,Tinkerbell,RUSSIANBL ,RUSSIA,GreyWhite ,Y,F,2
ALEXANDRA HEADLAND,D         ,Belle,CHIHUAHMN ,CHIHUA,TanWhite  ,Y,F,3
ALEXANDRA HEADLAND,D         ,Trev,DACHSHUND ,DACHSH,Tan       ,Y,M,2
ALEXANDRA HEADLAND,D         ,Beau,BEAGLE    ,BEAGLE,BlackTanWh,Y,M,4
ALEXANDRA HEADLAND,D         ,Bella,BEAGLE    ,BEAGLE,BlackTanWh,Y,F,4
ALEXANDRA HEADLAND,D         ,Bella,TERRIER   ,TERRIE,Red       ,Y,F,3
ALEXANDRA HEADLAND,Cat       ,Astor,DOMMH     ,DOMMH ,WhiteBlakT,Y,M,9
ALEXANDRA HEADLAND,Cat       ,Georgie,DOMSH     ,DOMSH ,Black     ,Y,M,2
ALEXANDRA HEADLAND,D         ,Neve,BULLDOGAM ,BULLDO,White     ,Y,F,2
ALEXANDRA HEADLAND,D         ,Lilly,COLLBORDR ,COLLBO,Black     ,Y,F,5
